The Hobbit: An Unexpected Journey,Adventure,12 14 2012,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",Peter Jackson,New Line Cinema
The Hobbit: The Battle of the Five Armies,Adventure,12 17 2014,"After successfully crossing over (and under) the Misty Mountains,Thorin and Company must seek aid from a powerful stranger before taking on the dangers of Mirkwood Forest--without their Wizard.",Peter Jackson,New Line Cinema
The Hobbit: The Desolation of Smaug,Adventure,12 13 2013,Bilbo and Company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,Peter Jackson,New Line Cinema
The Civil War,Documentary,09 23 1990,The Civil War is a 1990 American television miniseries based on the 1988 book of the same name by Shelby Foote. The miniseries was directed by Ken Burns and produced by Florentine Films. It was broadcast on PBS in 1990 and won the 1991 Emmy Award for Outstanding Nonfiction Series. The series was released on DVD in 2001.,Ken Burns,Public Broadcasting Service
The Vietnam War,Documentary,09 17 2017,"The Vietnam War is a 10-part, 18-hour documentary film series about the Vietnam War, directed by Ken Burns and Lynn Novick. The series was produced by Florentine Films and was first broadcast on PBS in the United States in 09 2017. The series was released on DVD and Blu-ray in 09 2017.",Ken Burns,Public Broadcasting Service
The Roosevelts: An Intimate History,Documentary,09 30 2014,"The Roosevelts: An Intimate History is a 2014 American television documentary miniseries about the lives of Theodore Roosevelt, Franklin D. Roosevelt, and Eleanor Roosevelt. The series was directed by Ken Burns and produced by Florentine Films. It was broadcast on PBS in 2014 and won the 2015 Emmy Award for Outstanding Nonfiction Series. The series was released on DVD in 2015.",Ken Burns,Public Broadcasting Service
The Dust Bowl,Documentary,09 30 2012,The Dust Bowl is a 2012 American television documentary miniseries about the Dust Bowl era of the 1930s. The series was directed by Ken Burns and produced by Florentine Films. It was broadcast on PBS in 2012 and won the 2013 Emmy Award for Outstanding Nonfiction Series. The series was released on DVD in 2013.,Ken Burns,Public Broadcasting Service
The War,Documentary,09 23 2007,The War is a 2007 American television documentary miniseries about World War II. The series was directed by Ken Burns and produced by Florentine Films. It was broadcast on PBS in 2007 and won the 2008 Emmy Award for Outstanding Nonfiction Series. The series was released on DVD in 2008.,Ken Burns,Public Broadcasting Service
The National Parks: America's Best Idea,Documentary,09 27 2009,The National Parks: America's Best Idea is a 2009 American television documentary miniseries about the history of the United States National Park Service. The series was directed by Ken Burns and produced by Florentine Films. It was broadcast on PBS in 2009 and won the 2010 Emmy Award for Outstanding Nonfiction Series. The series was released on DVD in 2010.,Ken Burns,Public Broadcasting Service
The Conjuring,Horror,07 19 2013,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,James Wan,New Line Cinema
The Conjuring 2,Horror,06 10 2016,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,James Wan,New Line Cinema
Naruto Shippuden,Anime,02 15 2007,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja is closing in on their grand plan which 05 threaten the safety of the entire shinobi world.",Masashi Kishimoto,TV Tokyo
One Piece,Anime,10 20 1999,"The adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger.",Eiichiro Oda,TV Tokyo
Bleach,Anime,10 5 2004,"Kurosaki Ichigo is not your average teenager. He can see ghosts. When he meets Rukia, a Soul Reaper who battles evil spirits known as Hollows, he finds his life is changed forever.",Tite Kubo,TV Tokyo
Dragon Ball Z,Anime,02 26 1989,The adventures of the mighty warrior Son Goku continue with a new family and the revelation of his alien origin.,Akira Toriyama,Toei Animation
Dragon Ball Super,Anime,07 5 2015,The continuing adventures of the mighty warrior Son Goku continue with a new family and the revelation of his alien origin.,Akira Toriyama,Toei Animation
Star Wars: Episode V - The Empire Strikes Back,Action,01 21 1980,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",Irvin Kershner,Disney
Star Wars: Episode IV - A New Hope,Action,01 21 1997,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,Disney
Star Wars: Episode III - Revenge of the Sith,Action,5 19 2005,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",George Lucas,Disney
